,SMILES,liv,lun,sto,mgl,liv_reliability,lun_reliability,sto_reliability,mgl_reliability
50,C=C(Cl)Cl,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
51,C=CC#N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
52,C=CC(=C)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
53,C=CC1=CC=CC=C1,0.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
54,C=CC=C,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
55,C=CCN(CC=C)N,0.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
56,C=CCl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
57,C=CF,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
58,CBr,0.0,0.0,1.0,0.0,explicit,explicit,explicit,implicit
59,CC(=C)C=C,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
60,CC(=O)CNCC(C(N=O)O)O,0.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
61,CC(=O)NC1=CC2=C(C=C1)C3=CC=CC=C3C2=O,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
62,CC(=O)NC1=NN=C(S1)C2=CC=C(O2)[N+](=O)[O-],1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
63,CC(=O)OC(C=C)C1=CC2=C(C=C1)OCO2,0.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
64,CC(=O)OC=C,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
65,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)[C@@H]5C[C@@H]5[C@]34C)Cl)C)OC(=O)C,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
66,CC(C(C1=CC=CC=C1)O)N(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
67,CC(CCl)OC(C)CCl,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
68,CC(CN(C(=O)N)N=O)O,1.0,0.0,1.0,0.0,explicit,implicit,explicit,implicit
69,CC/C(=C(/CC)\C1=CC=C(C=C1)O)/C2=CC=C(C=C2)O,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
70,CC/C=C/C=C/C=C/C=C/C=C/OC[C@H](CO)O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
71,CC1=C(C=C(C=C1)N)N,1.0,0.0,0.0,1.0,explicit,explicit,implicit,explicit
72,CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N,1.0,0.0,0.0,1.0,explicit,implicit,implicit,explicit
73,CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
74,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1,0.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
75,CC1=CC(=C(C=C1)O)N=NC2=CC=C(C=C2)NC(=O)C,1.0,0.0,1.0,0.0,explicit,explicit,explicit,implicit
76,CC1=CC=CC=C1[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
77,CC1=CN=C2C=CC3=C(C2=N1)N=C(N3C)N,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
78,CC1=NC=C(N1CCO)[N+](=O)[O-],1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
79,CC1CN(CC(O1)C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
80,CC1CN(CCO1)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
81,CC=NN(C)C=O,0.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
82,CCC(=O)N(C1=CC=C(C=C1)/C=C/C2=CC=CC=C2)O,1.0,1.0,0.0,1.0,explicit,explicit,implicit,explicit
83,CCCCCCCCCCCCN(C)N=O,1.0,1.0,1.0,0.0,explicit,explicit,explicit,implicit
